Date,Open,High,Low,Close,Adj Close,Volume,Stock
2017-05-02,5284.8798828125,5305.9501953125,5274.2900390625,5304.14990234375,5304.14990234375,104617800,CAC 40 Index
2017-05-03,5299.740234375,5301.60986328125,5282.4501953125,5301.0,5301.0,97848100,CAC 40 Index
2017-05-04,5309.39013671875,5372.419921875,5304.4599609375,5372.419921875,5372.419921875,152534000,CAC 40 Index
2017-05-05,5344.919921875,5432.39990234375,5343.02001953125,5432.39990234375,5432.39990234375,138533800,CAC 40 Index
2017-05-08,5442.10009765625,5442.10009765625,5374.2001953125,5382.9501953125,5382.9501953125,116136600,CAC 40 Index
2017-05-09,5404.14013671875,5413.60009765625,5394.1298828125,5398.009765625,5398.009765625,103174700,CAC 40 Index
2017-05-10,5398.81005859375,5402.33984375,5377.75,5400.4599609375,5400.4599609375,100058200,CAC 40 Index
2017-05-11,5409.89990234375,5409.990234375,5356.41015625,5383.419921875,5383.419921875,124960400,CAC 40 Index
2017-05-12,5386.7900390625,5405.419921875,5375.47998046875,5405.419921875,5405.419921875,158409000,CAC 40 Index
2017-05-15,5411.27001953125,5417.39990234375,5384.5400390625,5417.39990234375,5417.39990234375,97533000,CAC 40 Index
2017-05-16,5398.14990234375,5417.169921875,5389.8701171875,5406.10009765625,5406.10009765625,95519900,CAC 40 Index
2017-05-17,5375.83984375,5394.8798828125,5297.43017578125,5317.89013671875,5317.89013671875,118949500,CAC 40 Index
2017-05-18,5309.91015625,5322.7001953125,5238.509765625,5289.72998046875,5289.72998046875,124719100,CAC 40 Index
2017-05-19,5299.39990234375,5334.4501953125,5292.1201171875,5324.39990234375,5324.39990234375,108705400,CAC 40 Index
2017-05-22,5335.1201171875,5339.41015625,5315.22998046875,5322.8798828125,5322.8798828125,73526700,CAC 40 Index
2017-05-23,5317.1201171875,5368.8798828125,5314.47998046875,5348.16015625,5348.16015625,85536300,CAC 40 Index
2017-05-24,5336.97998046875,5353.009765625,5326.58984375,5341.33984375,5341.33984375,79667800,CAC 40 Index
2017-05-25,5360.97021484375,5366.7001953125,5323.10986328125,5337.16015625,5337.16015625,66254500,CAC 40 Index
2017-05-26,5328.85986328125,5336.759765625,5282.419921875,5336.64013671875,5336.64013671875,76926600,CAC 40 Index
2017-05-29,5327.72998046875,5335.77978515625,5316.68994140625,5332.47021484375,5332.47021484375,43001700,CAC 40 Index
2017-05-30,5291.080078125,5309.35986328125,5273.56005859375,5305.93994140625,5305.93994140625,78126400,CAC 40 Index
2017-05-31,5306.2099609375,5334.56982421875,5283.6298828125,5283.6298828125,5283.6298828125,143676300,CAC 40 Index
2017-06-01,5290.83984375,5327.60009765625,5287.990234375,5318.669921875,5318.669921875,84194600,CAC 40 Index
2017-06-02,5347.85986328125,5372.97021484375,5328.18994140625,5343.41015625,5343.41015625,95624300,CAC 40 Index
2017-06-05,5337.10986328125,5343.7900390625,5299.759765625,5307.89013671875,5307.89013671875,48932000,CAC 40 Index
2017-06-06,5280.2001953125,5296.419921875,5260.9501953125,5269.22021484375,5269.22021484375,79880200,CAC 40 Index
2017-06-07,5261.419921875,5320.0400390625,5254.02978515625,5265.52978515625,5265.52978515625,94213100,CAC 40 Index
2017-06-08,5264.68994140625,5290.5,5250.68017578125,5264.240234375,5264.240234375,85052500,CAC 40 Index
2017-06-09,5275.990234375,5320.169921875,5266.830078125,5299.7099609375,5299.7099609375,79889400,CAC 40 Index
2017-06-12,5282.580078125,5286.10009765625,5233.68994140625,5240.58984375,5240.58984375,85538800,CAC 40 Index
2017-06-13,5254.14013671875,5273.8701171875,5248.2900390625,5261.740234375,5261.740234375,72390200,CAC 40 Index
2017-06-14,5283.60009765625,5314.9599609375,5243.2900390625,5243.2900390625,5243.2900390625,97019900,CAC 40 Index
2017-06-15,5235.35986328125,5235.8798828125,5176.669921875,5216.8798828125,5216.8798828125,118313500,CAC 40 Index
